分类: 📡卫视频道, 名称: 河北卫视, 有效: 1, IPv4: 30, IPv6: 0, 最小延迟: 74 ms, 最高速率: 13.77 M/s, 平均速率: 13.77 M/s, 最高分辨率: 1920x1080, 平均帧率: 45.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河南卫视, 有效: 2, IPv4: 42, IPv6: 0, 最小延迟: 30 ms, 最高速率: 29.35 M/s, 平均速率: 21.41 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 1, IPv4: 32, IPv6: 0, 最小延迟: 334 ms, 最高速率: 12.56 M/s, 平均速率: 12.56 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 4, IPv4: 43, IPv6: 0, 最小延迟: 272 ms, 最高速率: 10.87 M/s, 平均速率: 7.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江西卫视, 有效: 2, IPv4: 39, IPv6: 0, 最小延迟: 318 ms, 最高速率: 14.98 M/s, 平均速率: 7.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 3, IPv4: 37, IPv6: 0, 最小延迟: 47 ms, 最高速率: 27.24 M/s, 平均速率: 15.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 0, IPv4: 27, IPv6: 0, 最小延迟: 247 ms, 最高速率: 8.36 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 1, IPv4: 24, IPv6: 0, 最小延迟: 360 ms, 最高速率: 11.12 M/s, 平均速率: 11.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 青海卫视, 有效: 2, IPv4: 27, IPv6: 0, 最小延迟: 245 ms, 最高速率: 11.82 M/s, 平均速率: 10.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山东卫视, 有效: 0, IPv4: 35, IPv6: 0, 最小延迟: 4589 ms, 最高速率: 0.19 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
